originalSkillUri,originalSkillType,relationType,relatedSkillType,relatedSkillUri
http://data.europa.eu/esco/skill/0568517d-3d5f-470f-ac29-0b6509dd85b8,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/f0737aae-0908-4c1b-a016-8858deecd8d8
http://data.europa.eu/esco/skill/05722a60-14ab-44e1-960e-35efb2695efd,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/98d7a8fd-62a7-45eb-acfb-84531967bc5d
http://data.europa.eu/esco/skill/05a7f9e0-1ebd-4853-890b-c78f37096d51,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/7cb40da8-acfa-48ba-a553-0a1d90528411
http://data.europa.eu/esco/skill/05a7f9e0-1ebd-4853-890b-c78f37096d51,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/f7464f30-662b-4177-85a0-3df9693e9e58
http://data.europa.eu/esco/skill/05d529f7-a76a-4d45-b681-5e03eb505845,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/a501695e-a054-409c-9456-75678b795245
http://data.europa.eu/esco/skill/05f05855-acac-4366-a6ee-42f0bebe3780,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe
http://data.europa.eu/esco/skill/05f05855-acac-4366-a6ee-42f0bebe3780,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/2bf2961c-4794-4713-a47e-f09dbc623e02
http://data.europa.eu/esco/skill/05f05855-acac-4366-a6ee-42f0bebe3780,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/bc038a0a-27af-4d9b-a6b5-93b9d9314d21
http://data.europa.eu/esco/skill/05fac72a-7c56-4819-974e-9e4159703731,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/8a169eb9-2cf1-4653-aa5c-af575c9836f9
http://data.europa.eu/esco/skill/05fac72a-7c56-4819-974e-9e4159703731,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/a0427808-b57d-41fe-b71c-ee0b620579f6
http://data.europa.eu/esco/skill/060850d5-3dab-476a-beea-4a01408c1bad,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/4422d55b-6b66-434b-a322-1e251c0183d1
http://data.europa.eu/esco/skill/060850d5-3dab-476a-beea-4a01408c1bad,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/d5ce57eb-3ec8-429b-9837-1cbd3aa0ec9a
http://data.europa.eu/esco/skill/0612b3e9-5515-4233-af5e-07191b03c4ba,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/9d75efb9-0c77-4f86-b5e7-99100808564a
http://data.europa.eu/esco/skill/061f1c12-9811-46f7-ab3e-1d28367d6c73,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/a2b5dcf3-5b6a-453d-876c-cff540c0faf1
http://data.europa.eu/esco/skill/0620ecd1-e4b1-4dfa-972b-38a93e5ebd9d,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/3e7516dc-0f7c-4686-8b2f-fade4e5d21be
http://data.europa.eu/esco/skill/0620ecd1-e4b1-4dfa-972b-38a93e5ebd9d,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/97965983-0da4-4902-9daf-d5cd2693ef73
http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/1605025e-a179-421f-8f35-5b07d182a6b2
http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/b0a3bb25-a02f-43ed-ab1f-994fa66a424a
http://data.europa.eu/esco/skill/06358891-8424-43c5-891e-d40f226bef40,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/11eebd42-44ab-401d-8a2c-bdb9fc9beb50
http://data.europa.eu/esco/skill/06358891-8424-43c5-891e-d40f226bef40,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/3ff589b7-68df-4ea5-ae41-b395bdb2378f
http://data.europa.eu/esco/skill/06390194-dc45-4d6f-a385-36a58d281ac4,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/c078fd94-f51a-4aea-8ab7-286a41309edb
http://data.europa.eu/esco/skill/06390194-dc45-4d6f-a385-36a58d281ac4,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/ec0b765d-e5d5-4ef5-8c05-61fb3cfb0781
http://data.europa.eu/esco/skill/064565c0-4a4c-4a1f-b014-09227ffd5a9f,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/0f4c6e98-2eea-4e45-931d-c20a27f8f327
http://data.europa.eu/esco/skill/064565c0-4a4c-4a1f-b014-09227ffd5a9f,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/f1d84ceb-f9bc-4b69-866d-426ee337f9af
http://data.europa.eu/esco/skill/0654d206-36a6-4d37-bb98-eb8bd33af3c5,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/0b95eb5d-f3eb-4387-a0bb-094a394196c7
http://data.europa.eu/esco/skill/065ec709-e0f4-407f-91fe-9feab66942be,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/e89af3db-c486-4534-883e-b119c6124297
http://data.europa.eu/esco/skill/06670261-ea6b-4b52-a915-c7d4ff837f74,skill/competence,essential,skill/competence,http://data.europa.eu/esco/skill/57231a22-4da7-49c8-97b8-75672feadf1e
http://data.europa.eu/esco/skill/06670261-ea6b-4b52-a915-c7d4ff837f74,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833
http://data.europa.eu/esco/skill/06735a47-61df-4fcb-b23c-d26d70fd3cba,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/6975d035-4523-4a5d-89ea-e414a473e077
http://data.europa.eu/esco/skill/06735a47-61df-4fcb-b23c-d26d70fd3cba,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/c955d9ba-45c5-421e-bc11-c05d67c56202
http://data.europa.eu/esco/skill/06771445-aafc-4422-966c-87c861ad3fd3,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/5333761a-9a0e-4150-ac1d-6ff8111e37a8
